namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"fort Recife Kasteel Sint Joris","Landkasteel, fort (Recife)","Point(-8.0577 -34.8712)",http://www.wikidata.org/entity/Q104534269,https://www.atlasofmutualheritage.nl/en/Landkasteel-fort-(Recife).8939c
"fort Recife Castelo São Jorge","Landkasteel, fort (Recife)","Point(-8.0577 -34.8712)",http://www.wikidata.org/entity/Q104534269,https://www.atlasofmutualheritage.nl/en/Landkasteel-fort-(Recife).8939c
"Stadswal van Recife","Recife, Stadswal van","Point(-8.06153 -34.8709)",http://www.wikidata.org/entity/Q104534270,https://www.atlasofmutualheritage.nl/en/Recife-City-rampart-of.8940c
"batterij Batavia","Batavia, batterij (Banda)","Point(-4.51885 129.869)",http://www.wikidata.org/entity/Q104534271,https://www.atlasofmutualheritage.nl/en/Batavia-battery-(Banda).8942c
"Pintu Besar","Batavia, batterij (Banda)","Point(-4.51885 129.869)",http://www.wikidata.org/entity/Q104534271,https://www.atlasofmutualheritage.nl/en/Batavia-battery-(Banda).8942c
"fort Rum","Rum, fort","Point(0.741806 127.387)",http://www.wikidata.org/entity/Q104534272,https://www.atlasofmutualheritage.nl/en/Rum-fort.8951c
"fort Rumo","Rum, fort","Point(0.741806 127.387)",http://www.wikidata.org/entity/Q104534272,https://www.atlasofmutualheritage.nl/en/Rum-fort.8951c
"fort Roemi","Rum, fort","Point(0.741806 127.387)",http://www.wikidata.org/entity/Q104534272,https://www.atlasofmutualheritage.nl/en/Rum-fort.8951c
"San Lucas de el Rume","Rum, fort","Point(0.741806 127.387)",http://www.wikidata.org/entity/Q104534272,https://www.atlasofmutualheritage.nl/en/Rum-fort.8951c
Gouverneurseiland,Gouverneurseiland,"Point(40.6895 -74.0168)",,https://www.atlasofmutualheritage.nl/en/Gouverneurseiland.9005p
"Governors Island",Gouverneurseiland,"Point(40.6895 -74.0168)",,https://www.atlasofmutualheritage.nl/en/Gouverneurseiland.9005p
"fort Dodinga","Dodinga, fort","Point(0.857313 127.645)",http://www.wikidata.org/entity/Q104534273,https://www.atlasofmutualheritage.nl/en/Dodinga-fort.9025c
"fort Beversreede","Beversreede, fort","Point(39.9019 -75.2169)",http://www.wikidata.org/entity/Q2754717,https://www.atlasofmutualheritage.nl/en/Beversreede-fort.9036c
"fort Harderwijk","Harderwijk, fort","Point(-3.33595 128.917)",http://www.wikidata.org/entity/Q104534274,https://www.atlasofmutualheritage.nl/en/Harderwijk-fort.9037c
"redoute Amahai","Harderwijk, fort","Point(-3.33595 128.917)",http://www.wikidata.org/entity/Q104534274,https://www.atlasofmutualheritage.nl/en/Harderwijk-fort.9037c
"fort Puwati","Puwati, fort","Point(0.336094 127.442)",http://www.wikidata.org/entity/Q104534275,https://www.atlasofmutualheritage.nl/en/Puwati-fort.9051c
"fort Poewatie","Puwati, fort","Point(0.336094 127.442)",http://www.wikidata.org/entity/Q104534275,https://www.atlasofmutualheritage.nl/en/Puwati-fort.9051c
"fort Saboga","Saboga, fort","Point(1.13509 127.439)",http://www.wikidata.org/entity/Q104534276,https://www.atlasofmutualheritage.nl/en/Saboga-fort.9052c
"fort Sabugo","Saboga, fort","Point(1.13509 127.439)",http://www.wikidata.org/entity/Q104534276,https://www.atlasofmutualheritage.nl/en/Saboga-fort.9052c
"fort Sidangoli","Sidangoli, fort","Point(0.886364 127.502)",http://www.wikidata.org/entity/Q104534277,https://www.atlasofmutualheritage.nl/en/Sidangoli-fort.9053c
"Kota Intan","Sidangoli, fort","Point(0.886364 127.502)",http://www.wikidata.org/entity/Q104534277,https://www.atlasofmutualheritage.nl/en/Sidangoli-fort.9053c
"fort Tahula","Tahula, fort","Point(0.648137 127.442)",http://www.wikidata.org/entity/Q104534278,https://www.atlasofmutualheritage.nl/en/Tahula-fort.9055c
"Kota Hula","Tahula, fort","Point(0.648137 127.442)",http://www.wikidata.org/entity/Q104534278,https://www.atlasofmutualheritage.nl/en/Tahula-fort.9055c
"Clevia Plantage","Clevia Plantage","Point(5.86806 -55.1133)",,https://www.atlasofmutualheritage.nl/en/Clevia-Plantation.9069p
"Clivia Plantage","Clevia Plantage","Point(5.86806 -55.1133)",,https://www.atlasofmutualheritage.nl/en/Clevia-Plantation.9069p
"Suriname Rivier","Suriname Rivier","Point(5.83661 -55.1059)",,https://www.atlasofmutualheritage.nl/en/Suriname-River.9070p
"Paulus Kreek","Paulus Kreek","Point(5.75 -55.1)",,https://www.atlasofmutualheritage.nl/en/Paulus-Creek.9071p
"Commewijne Rivier","Commewijne Rivier","Point(5.89413 -55.063)",http://www.wikidata.org/entity/Q1115486,https://www.atlasofmutualheritage.nl/en/River-Commewijne.9072p
"Cassewinica kreek","Cassewinica kreek","Point(5.85603 -54.8839)",http://www.wikidata.org/entity/Q32589404,https://www.atlasofmutualheritage.nl/en/Cassewinica-Creek.9137p
"Cassewine kreek","Cassewinica kreek","Point(5.85603 -54.8839)",http://www.wikidata.org/entity/Q32589404,https://www.atlasofmutualheritage.nl/en/Cassewinica-Creek.9137p
"Casiwinica kreek","Cassewinica kreek","Point(5.85603 -54.8839)",http://www.wikidata.org/entity/Q32589404,https://www.atlasofmutualheritage.nl/en/Cassewinica-Creek.9137p
"Caswinica kreek","Cassewinica kreek","Point(5.85603 -54.8839)",http://www.wikidata.org/entity/Q32589404,https://www.atlasofmutualheritage.nl/en/Cassewinica-Creek.9137p
"Casawinica kreek","Cassewinica kreek","Point(5.85603 -54.8839)",http://www.wikidata.org/entity/Q32589404,https://www.atlasofmutualheritage.nl/en/Cassewinica-Creek.9137p
Mulgirigala,Mulgirigala,"Point(6.12319 80.7362)",,https://www.atlasofmutualheritage.nl/en/Mulgirigala.9157p
Mulkirigala,Mulgirigala,"Point(6.12319 80.7362)",,https://www.atlasofmutualheritage.nl/en/Mulgirigala.9157p
Adamsberg,Mulgirigala,"Point(6.12319 80.7362)",,https://www.atlasofmutualheritage.nl/en/Mulgirigala.9157p
